lookback,skip,top_k,cost_bps,start_date,ann_return,ann_vol,net_sharpe,max_drawdown,ann_turnover
63,0,2,0.0,2000-05-01,0.05519,0.193402,0.2854,-0.5069,5.875
63,0,2,2.0,2000-05-01,0.054015,0.1934,0.2793,-0.5078,5.875
63,0,2,5.0,2000-05-01,0.052252,0.193397,0.2702,-0.5092,5.875
63,0,2,10.0,2000-05-01,0.049315,0.193397,0.255,-0.5115,5.875
63,0,2,20.0,2000-05-01,0.04344,0.193412,0.2246,-0.5162,5.875
63,0,2,50.0,2000-05-01,0.025816,0.193575,0.1334,-0.5302,5.875
63,0,3,0.0,2000-05-01,0.065943,0.187583,0.3515,-0.5254,4.846
63,0,3,2.0,2000-05-01,0.064973,0.187585,0.3464,-0.526,4.846
63,0,3,5.0,2000-05-01,0.06352,0.187588,0.3386,-0.527,4.846
63,0,3,10.0,2000-05-01,0.061097,0.187596,0.3257,-0.5286,4.846
63,0,3,20.0,2000-05-01,0.056251,0.187622,0.2998,-0.5317,4.846
63,0,3,50.0,2000-05-01,0.041713,0.187783,0.2221,-0.5413,4.846
63,0,4,0.0,2000-05-01,0.07724,0.182624,0.4229,-0.482,3.901
63,0,4,2.0,2000-05-01,0.076459,0.182623,0.4187,-0.4826,3.901
63,0,4,5.0,2000-05-01,0.075289,0.182623,0.4123,-0.4835,3.901
63,0,4,10.0,2000-05-01,0.073338,0.182624,0.4016,-0.4849,3.901
63,0,4,20.0,2000-05-01,0.069437,0.182633,0.3802,-0.4878,3.901
63,0,4,50.0,2000-05-01,0.057733,0.182712,0.316,-0.4963,3.901
63,21,2,0.0,2000-05-01,0.077735,0.195705,0.3972,-0.4599,7.153
63,21,2,2.0,2000-05-01,0.076305,0.195707,0.3899,-0.4604,7.153
63,21,2,5.0,2000-05-01,0.074159,0.195713,0.3789,-0.4612,7.153
63,21,2,10.0,2000-05-01,0.070583,0.195728,0.3606,-0.4624,7.153
63,21,2,20.0,2000-05-01,0.06343,0.195778,0.324,-0.4649,7.153
63,21,2,50.0,2000-05-01,0.041971,0.196092,0.214,-0.4724,7.153
63,21,3,0.0,2000-05-01,0.073397,0.19048,0.3853,-0.4902,5.892
63,21,3,2.0,2000-05-01,0.072219,0.190483,0.3791,-0.4906,5.892
63,21,3,5.0,2000-05-01,0.070451,0.190489,0.3698,-0.4912,5.892
63,21,3,10.0,2000-05-01,0.067505,0.190504,0.3543,-0.4923,5.892
63,21,3,20.0,2000-05-01,0.061612,0.190546,0.3233,-0.4944,5.892
63,21,3,50.0,2000-05-01,0.043935,0.190783,0.2303,-0.5007,5.892
63,21,4,0.0,2000-05-01,0.069,0.186429,0.3701,-0.5228,4.757
63,21,4,2.0,2000-05-01,0.068049,0.186426,0.365,-0.5231,4.757
63,21,4,5.0,2000-05-01,0.066621,0.186422,0.3574,-0.5236,4.757
63,21,4,10.0,2000-05-01,0.064243,0.186418,0.3446,-0.5244,4.757
63,21,4,20.0,2000-05-01,0.059486,0.186418,0.3191,-0.526,4.757
63,21,4,50.0,2000-05-01,0.045214,0.186494,0.2424,-0.5308,4.757
126,0,2,0.0,2000-08-01,0.086443,0.196079,0.4409,-0.4857,4.18
126,0,2,2.0,2000-08-01,0.085607,0.196076,0.4366,-0.4864,4.18
126,0,2,5.0,2000-08-01,0.084353,0.196074,0.4302,-0.4875,4.18
126,0,2,10.0,2000-08-01,0.082263,0.196071,0.4196,-0.4894,4.18
126,0,2,20.0,2000-08-01,0.078083,0.196076,0.3982,-0.4931,4.18
126,0,2,50.0,2000-08-01,0.065542,0.196167,0.3341,-0.5039,4.18
126,0,3,0.0,2000-08-01,0.072634,0.183851,0.3951,-0.5047,3.448
126,0,3,2.0,2000-08-01,0.071944,0.18385,0.3913,-0.5052,3.448
126,0,3,5.0,2000-08-01,0.07091,0.18385,0.3857,-0.5058,3.448
126,0,3,10.0,2000-08-01,0.069186,0.18385,0.3763,-0.5069,3.448
126,0,3,20.0,2000-08-01,0.065739,0.183858,0.3576,-0.5091,3.448
126,0,3,50.0,2000-08-01,0.055396,0.183933,0.3012,-0.5159,3.448
126,0,4,0.0,2000-08-01,0.074986,0.181911,0.4122,-0.4631,2.874
126,0,4,2.0,2000-08-01,0.074412,0.181911,0.4091,-0.4634,2.874
126,0,4,5.0,2000-08-01,0.073549,0.18191,0.4043,-0.4638,2.874
126,0,4,10.0,2000-08-01,0.072112,0.181911,0.3964,-0.4645,2.874
126,0,4,20.0,2000-08-01,0.069239,0.181917,0.3806,-0.4658,2.874
126,0,4,50.0,2000-08-01,0.060617,0.18197,0.3331,-0.4699,2.874
126,21,2,0.0,2000-08-01,0.10697,0.194181,0.5509,-0.464,4.684
126,21,2,2.0,2000-08-01,0.106033,0.19418,0.5461,-0.4643,4.684
126,21,2,5.0,2000-08-01,0.104628,0.19418,0.5388,-0.4647,4.684
126,21,2,10.0,2000-08-01,0.102286,0.194182,0.5268,-0.4654,4.684
126,21,2,20.0,2000-08-01,0.097602,0.194198,0.5026,-0.4669,4.684
126,21,2,50.0,2000-08-01,0.08355,0.194334,0.4299,-0.4711,4.684
126,21,3,0.0,2000-08-01,0.083473,0.190042,0.4392,-0.4896,3.565
126,21,3,2.0,2000-08-01,0.08276,0.19004,0.4355,-0.4899,3.565
126,21,3,5.0,2000-08-01,0.08169,0.190038,0.4299,-0.4903,3.565
126,21,3,10.0,2000-08-01,0.079908,0.190037,0.4205,-0.491,3.565
126,21,3,20.0,2000-08-01,0.076343,0.19004,0.4017,-0.4924,3.565
126,21,3,50.0,2000-08-01,0.065648,0.190106,0.3453,-0.4967,3.565
126,21,4,0.0,2000-08-01,0.101325,0.184033,0.5506,-0.4556,2.945
126,21,4,2.0,2000-08-01,0.100736,0.18403,0.5474,-0.4558,2.945
126,21,4,5.0,2000-08-01,0.099853,0.184027,0.5426,-0.4561,2.945
126,21,4,10.0,2000-08-01,0.09838,0.184021,0.5346,-0.4566,2.945
126,21,4,20.0,2000-08-01,0.095435,0.184016,0.5186,-0.4575,2.945
126,21,4,50.0,2000-08-01,0.0866,0.184034,0.4706,-0.4602,2.945
189,0,2,0.0,2000-11-01,0.077115,0.2003,0.385,-0.5114,3.655
189,0,2,2.0,2000-11-01,0.076384,0.2003,0.3813,-0.5118,3.655
189,0,2,5.0,2000-11-01,0.075288,0.200302,0.3759,-0.5123,3.655
189,0,2,10.0,2000-11-01,0.07346,0.200307,0.3667,-0.5132,3.655
189,0,2,20.0,2000-11-01,0.069805,0.200325,0.3485,-0.5149,3.655
189,0,2,50.0,2000-11-01,0.058841,0.200442,0.2936,-0.5202,3.655
189,0,3,0.0,2000-11-01,0.074858,0.189138,0.3958,-0.4776,2.945
189,0,3,2.0,2000-11-01,0.074269,0.189137,0.3927,-0.4778,2.945
189,0,3,5.0,2000-11-01,0.073385,0.189136,0.388,-0.4781,2.945
189,0,3,10.0,2000-11-01,0.071913,0.189136,0.3802,-0.4785,2.945
189,0,3,20.0,2000-11-01,0.068967,0.18914,0.3646,-0.4795,2.945
189,0,3,50.0,2000-11-01,0.060131,0.189193,0.3178,-0.4823,2.945
189,0,4,0.0,2000-11-01,0.078051,0.185567,0.4206,-0.4709,2.36
189,0,4,2.0,2000-11-01,0.077579,0.185567,0.4181,-0.4712,2.36
189,0,4,5.0,2000-11-01,0.076871,0.185566,0.4143,-0.4715,2.36
189,0,4,10.0,2000-11-01,0.075691,0.185567,0.4079,-0.4721,2.36
189,0,4,20.0,2000-11-01,0.073331,0.185571,0.3952,-0.4732,2.36
189,0,4,50.0,2000-11-01,0.06625,0.185611,0.3569,-0.4766,2.36
189,21,2,0.0,2000-11-01,0.08336,0.203177,0.4103,-0.5036,3.84
189,21,2,2.0,2000-11-01,0.082592,0.203181,0.4065,-0.5039,3.84
189,21,2,5.0,2000-11-01,0.08144,0.203187,0.4008,-0.5043,3.84
189,21,2,10.0,2000-11-01,0.07952,0.2032,0.3913,-0.505,3.84
189,21,2,20.0,2000-11-01,0.075681,0.203234,0.3724,-0.5063,3.84
189,21,2,50.0,2000-11-01,0.064161,0.203402,0.3154,-0.5103,3.84
189,21,3,0.0,2000-11-01,0.078216,0.195455,0.4002,-0.5137,3.201
189,21,3,2.0,2000-11-01,0.077576,0.195453,0.3969,-0.5139,3.201
189,21,3,5.0,2000-11-01,0.076615,0.195452,0.392,-0.5141,3.201
189,21,3,10.0,2000-11-01,0.075015,0.195451,0.3838,-0.5146,3.201
189,21,3,20.0,2000-11-01,0.071813,0.195454,0.3674,-0.5154,3.201
189,21,3,50.0,2000-11-01,0.062209,0.195505,0.3182,-0.5199,3.201
189,21,4,0.0,2000-11-01,0.088381,0.191118,0.4624,-0.491,2.593
189,21,4,2.0,2000-11-01,0.087862,0.191116,0.4597,-0.4912,2.593
189,21,4,5.0,2000-11-01,0.087084,0.191112,0.4557,-0.4914,2.593
189,21,4,10.0,2000-11-01,0.085787,0.191107,0.4489,-0.4917,2.593
189,21,4,20.0,2000-11-01,0.083194,0.1911,0.4353,-0.4925,2.593
189,21,4,50.0,2000-11-01,0.075414,0.191107,0.3946,-0.4946,2.593
252,0,2,0.0,2001-02-01,0.089432,0.197605,0.4526,-0.4746,3.348
252,0,2,2.0,2001-02-01,0.088763,0.197603,0.4492,-0.4749,3.348
252,0,2,5.0,2001-02-01,0.087758,0.197602,0.4441,-0.4753,3.348
252,0,2,10.0,2001-02-01,0.086085,0.197601,0.4356,-0.476,3.348
252,0,2,20.0,2001-02-01,0.082737,0.197607,0.4187,-0.4773,3.348
252,0,2,50.0,2001-02-01,0.072694,0.197685,0.3677,-0.4814,3.348
252,0,3,0.0,2001-02-01,0.078552,0.186674,0.4208,-0.4594,3.011
252,0,3,2.0,2001-02-01,0.07795,0.186671,0.4176,-0.4596,3.011
252,0,3,5.0,2001-02-01,0.077046,0.186667,0.4127,-0.4599,3.011
252,0,3,10.0,2001-02-01,0.075541,0.186662,0.4047,-0.4603,3.011
252,0,3,20.0,2001-02-01,0.07253,0.186655,0.3886,-0.4613,3.011
252,0,3,50.0,2001-02-01,0.063498,0.186672,0.3402,-0.4643,3.011
252,0,4,0.0,2001-02-01,0.087789,0.186186,0.4715,-0.469,1.916
252,0,4,2.0,2001-02-01,0.087406,0.186184,0.4695,-0.4691,1.916
252,0,4,5.0,2001-02-01,0.086831,0.186182,0.4664,-0.4693,1.916
252,0,4,10.0,2001-02-01,0.085873,0.186179,0.4612,-0.4697,1.916
252,0,4,20.0,2001-02-01,0.083957,0.186174,0.451,-0.4705,1.916
252,0,4,50.0,2001-02-01,0.078208,0.186178,0.4201,-0.4727,1.916
252,21,2,0.0,2001-02-01,0.1037,0.207125,0.5007,-0.5082,3.331
252,21,2,2.0,2001-02-01,0.103034,0.207128,0.4974,-0.5084,3.331
252,21,2,5.0,2001-02-01,0.102035,0.207133,0.4926,-0.5087,3.331
252,21,2,10.0,2001-02-01,0.10037,0.207143,0.4845,-0.5093,3.331
252,21,2,20.0,2001-02-01,0.097039,0.20717,0.4684,-0.5103,3.331
252,21,2,50.0,2001-02-01,0.087046,0.207302,0.4199,-0.5135,3.331
252,21,3,0.0,2001-02-01,0.097591,0.191928,0.5085,-0.4575,2.651
252,21,3,2.0,2001-02-01,0.097061,0.191927,0.5057,-0.4577,2.651
252,21,3,5.0,2001-02-01,0.096265,0.191926,0.5016,-0.4579,2.651
252,21,3,10.0,2001-02-01,0.09494,0.191924,0.4947,-0.4583,2.651
252,21,3,20.0,2001-02-01,0.09229,0.191926,0.4809,-0.4592,2.651
252,21,3,50.0,2001-02-01,0.084338,0.191961,0.4393,-0.4616,2.651
252,21,4,0.0,2001-02-01,0.082489,0.18828,0.4381,-0.504,1.848
252,21,4,2.0,2001-02-01,0.082119,0.188278,0.4362,-0.5042,1.848
252,21,4,5.0,2001-02-01,0.081564,0.188276,0.4332,-0.5046,1.848
252,21,4,10.0,2001-02-01,0.08064,0.188273,0.4283,-0.5051,1.848
252,21,4,20.0,2001-02-01,0.078792,0.18827,0.4185,-0.5062,1.848
252,21,4,50.0,2001-02-01,0.073246,0.188276,0.389,-0.5095,1.848
